Party,Handle,Tweet,Sentiment,Category
Democrat,RepRoKhanna,Donald Glover’s new music video illustrates the harsh truth of police brutality and gun violence in the United Stat… https://t.co/klcY3fUUpv,-0.8519,GunControl
Democrat,RepRoKhanna,Enough is enough. We need common sense gun safety NOW. https://t.co/RvV8X8kbXJ,0.1027,GunControl
Democrat,RepRoKhanna,South Carolina’s Senate vote to ban abortion is blatantly unconstitutional. Republican lawmakers in the state are a… https://t.co/sxPgn2QBNc,-0.5574,Abortion
Democrat,RepRoKhanna,Thank you to Sunnyvale Presbyterian Church for hosting an important discussion on gun violence with community leade… https://t.co/K7nyn5URfd,-0.4939,GunControl
Democrat,RepKihuen,"RT @AJentleson: More info on the UNLV Law Clinic if you care to donate on behalf of Senator Reid: 

“The UNLV Immigration Clinic trains stu…",0.4939,Immigration
Democrat,RepKihuen,After the #1OCT shooting first responders and emergency room nurses helped our city heal. They deserve our support.… https://t.co/Xb7Y8p15zp,-0.3818,GunControl
Democrat,RepKihuen,Had a substantive discussion today with @UNLV students regarding the gun violence epidemic in our country. I’m prou… https://t.co/EkRQuXMxXx,-0.7579,GunControl
Democrat,RepKihuen,Every day I get letters from Nevada students begging Congress to act to protect them from gun violence. I read ever… https://t.co/tKq7zAt2gw,-0.5994,GunControl
Democrat,RepKihuen,"RT @CanCGLA: Thank you, @RepKihuen, for honouring the life of Jordan Mcildoon, 1 of 4 Canadians killed during the October 1st shooting in L…",0.0258,GunControl
Democrat,RepKihuen,RT @LIT_LV: Founder/ED shared story of LIT students/families to NV delegation today in US Senate/House of Reps &amp; how immigration policy imp…,0.34,Immigration
Democrat,RepKihuen,Today I met with @ACDCNV &amp; @AAAJ_AAJC to discuss leaving the citizenship question off of the #2020Census the… https://t.co/TUAtGdaN8W,0.0,Immigration
Democrat,RepKihuen,Joining my @HispanicCaucus colleagues to voice my opposition to the citizenship question on the #2020Census. This m… https://t.co/lxDOMjEofY,0.0,Immigration
Democrat,RepKihuen,"RT @garymartindc: .@RepKihuen says @realDonaldTrump ""lacks a firm grasp on reality"" in his immigration policies and proposals for the milit…",0.0,Immigration
Democrat,RepMcEachin,"In the six long months it took to control the spill, 5 million barrels of crude oil was dumped into the Gulf of Mex… https://t.co/4KDvcHgf9o",-0.7506,GunControl
Democrat,RepCarbajal,TOMORROW: The @SB_Police Department and @sbcoalition will host a Gun Buyback at the Earl Warren Showgrounds from 8a… https://t.co/YrelBW6NrT,-0.34,GunControl
Democrat,RepCarbajal,Voting is now open for the 2018 Congressional Art Competition’s “People’s Choice Award.” Go to my Facebook page to… https://t.co/Hp7VKzNcZ2,0.0,Abortion
Democrat,RepCarbajal,Parents &amp; teachers know the best way to keep our kids safe from gun violence is restricting individuals in crisis f… https://t.co/QbyZ7703l0,-0.7269,GunControl
Democrat,RepCarbajal,Ohio became the latest state to embrace gun violence prevention orders last week. I'm grateful for the continued bi… https://t.co/euwYEtOfN3,-0.296,GunControl
Democrat,RepCarbajal,Happy to announce the Gun Violence Restraining Order Act has reached 100 bipartisan co-sponsors! The momentum behin… https://t.co/FYPpEfNIEI,-0.4003,GunControl
Democrat,RepCarbajal,"Last weekend, my 17 year old son and I joined the young people in San Luis Obispo calling for an end to gun violenc… https://t.co/TK2YhWYzFI",-0.34,GunControl
Democrat,RepCarbajal,Adding a citizenship question to the #2020Census would only decrease participation &amp; waste millions of dollars. We… https://t.co/GYOlktl8NJ,-0.4215,Immigration
Democrat,RepCarbajal,"The Gun Violence Restraining Order Act is bicameral, bipartisan legislation that temporarily takes firearms away fr… https://t.co/ujH0e6tCUL",-0.7579,GunControl
Democrat,RepCarbajal,I’m proud to stand with a true gun violence reform champion in the fight for common sense gun violence solutions th… https://t.co/KYSvTBO8hO,-0.6249,GunControl
Democrat,RepCarbajal,I'm standing with @davidhogg111 &amp; those marching on the Central Coast demanding action on gun violence. Congress mu… https://t.co/OOggrj35mk,-0.8126,GunControl
Democrat,RepCarbajal,Proud to stand with the @ProsecutorsAGV today to discuss the urgent need for gun reform. We need to protect our chi… https://t.co/9rh9Lx4gWw,0.6249,GunControl
Democrat,RepCarbajal,"#GVROs are something every state should put in place. My bill, the Gun Violence Restraining Order Act, gives states… https://t.co/MsvXEBLFCx",-0.7579,GunControl
Democrat,RepCarbajal,"Gun violence restraining orders work in CA, temporarily keeping guns out of the hands of individuals in crisis. In… https://t.co/3NxwR6OMHe",-0.891,GunControl
Democrat,RepCarbajal,"Today, two different schools on the Central Coast faced lockdowns due to a shooting threat, thankfully everyone is… https://t.co/KTBYUdbqj1",-0.1531,GunControl
Democrat,RepCarbajal,"RT @KSBY: Safe &amp; Secure: ""I like that,"" says President Trump on local congressman's gun reform bill. @CorralCarina reports:
https://t.co/mQ…",0.6597,GunControl
Democrat,RepCarbajal,"RT @RepDonBeyer: Our bipartisan bill might have stopped the Parkland shooting.

@RepCarbajal, @RepEsty and I write about the Gun Violence R…",-0.8126,GunControl
Democrat,RepCarbajal,"RT @RepEsty: Last week at the @WhiteHouse, @realDonaldTrump &amp; @VP told me that they support gun violence restraining orders.

#GVROs work.…",-0.5859,GunControl
Democrat,RepCarbajal,"When the perpetrator of the #Parkland Shooting displayed warning signs, the legal options for police weren’t enough… https://t.co/8dJE8p3qsx",-0.6249,GunControl
Democrat,RepCharlieCrist,"#OTD 50 years ago, we lost civil rights champion Dr. Martin Luther King, Jr.  due to gun violence and bigotry. Let’… https://t.co/V1VNA8IGcK",-0.5994,GunControl
Democrat,RepCharlieCrist,Leaders on both sides of the aisle must show the political courage necessary to improve our nation’s gun laws to ke… https://t.co/t6CzQLrNuW,0.5719,GunControl
Democrat,RepCharlieCrist,No words to describe the shock and sadness of another tragic shooting in my home state. Praying for the safety of s… https://t.co/eT4n1JU644,-0.6597,GunControl
Democrat,RepLouCorrea,(1) The federal government has been in paralysis on immigration reform for years. When the federal government fails… https://t.co/XlSxYHJlYc,0.0,Immigration
Democrat,RepJayapal,RT @usatodayDC: Democrats propose a moratorium on new immigration prisons https://t.co/UooXaMdv9A @alangomez,0.0,Immigration
Democrat,RepJayapal,"RT @iExaminer: A bill from @RepJayapal and @KamalaHarris would put a halt to construction or expansion of immigration prisons, which have b…",0.0,Immigration
Democrat,RepJayapal,We need to be SHUTTING DOWN for-profit prisons. Even though our country already runs the largest immigrant detentio… https://t.co/Z8k93HpISU,0.0,Immigration
Democrat,RepJayapal,"RT @alangomez: As @realDonaldTrump admin tries to increase incarceration of undocumented immigrants, Democrats @KamalaHarris + @RepJayapal…",0.3182,Immigration
Democrat,RepJayapal,RT @Shugruberg: Love that South Asian women are leading the fight against mass incarceration and abuse in immigration detention! Thank you…,-0.4389,Immigration
Democrat,RepJayapal,RT @MigrantFreedom: A key step toward ending immigration detention is to stop it from expanding. This proposed measure would do just that.…,-0.5719,Immigration
Democrat,RepJayapal,"RT @carolinefan: .@RepJayapal does a thorough job of educating a caller who questioned the Congresswoman's citizenship #AAPI
https://t.co/s…",-0.1027,Immigration
Democrat,RepJayapal,"RT @TUSK81: “My mother had the choice to send me across the oceans for a better future, but many mothers have no good choices. Leaving thei…",0.4588,Abortion
Democrat,RepJayapal,RT @wrcommission: Immigrant mothers simply seek a better life for their children. We must stop inhumane family separation NOW. #MothersDay…,0.1779,Immigration
Democrat,RepJayapal,"RT @RepKClark: Today of all days, read this story to see – and feel – why we must stop ripping apart immigrant mothers and their children *…",-0.296,Immigration
Democrat,RepJayapal,"RT @YWCAUSA: ""Parents seeking protection for their family should never have to fear that the price for lawfully seeking asylum is to be tor…",0.3875,Immigration
Democrat,RepJayapal,RT @RepHastingsFL: I am mindful today of the Trump Administration’s inhumane policy of separating immigrant mothers from their children at…,0.0,Immigration
Democrat,RepJayapal,RT @MamasConPoder: Immigration agents are deliberately prying young children away from the arms of their mothers. This isn’t a show of “tou…,0.0,Immigration
Democrat,RepJayapal,RT @kiwa4justice: Happy #MothersDay! Today we’re sending extra love to immigrant mothers—from those separated from their families to pregna…,0.8478,Immigration
Democrat,RepJayapal,"RT @RepKarenBass: This #MothersDay, I stand with immigrant mothers simply seeking a better life for their children. We must stop inhumane f…",0.1779,Immigration
Democrat,RepJayapal,"This month, the Trump administration began a terrible blanket policy of separating undocumented kids and parents at… https://t.co/024OCGdyzL",-0.4767,Immigration
Democrat,RepJayapal,First Indian-American congresswoman shares response to caller questioning her citizenship https://t.co/8ZVAld4eYG,0.2023,Immigration
Democrat,RepJayapal,RT @cspanwj: Rep. Pramila Jayapal (D-WA) joins us to discuss immigration &amp; for an update on Special Counsel Robert Mueller's investigation…,0.4019,Immigration
Democrat,RepJayapal,My goal for us is to have a functioning immigration system. One that responds to the needs of all of our country.,0.0,Immigration
Democrat,RepJayapal,RT @CWS_global: Thank you @RepJayapal @RepGraceMeng for joining our call today and speaking about your powerful commitment to immigrant mom…,0.7845,Immigration
Democrat,RepJayapal,RT @zachcarstensen: Last night I participated in an immigration 101 forum at St. Joseph's Parish in Capitol Hill.  I was part of an esteeme…,0.0,Immigration
Democrat,RepJayapal,"RT @DaviSusan: There is an extraordinary thing happening to the nation's legal immigrant communities under the Trump administration: 50,000…",0.128,Immigration
Democrat,RepJayapal,RT if you think prioritizing gun industry profits over public safety - our safety - is just about the farthest thin… https://t.co/nU5hmnA8t6,0.7269,GunControl
Democrat,RepJayapal,RT @RepBarbaraLee: Many families seeking asylum are fleeing unimaginable violence &amp; terror. Tearing these children from their parents isn’t…,-0.8176,Immigration
Democrat,RepJayapal,"Happy #MayDay, also known as International Workers Day, a day when we stand up for immigrant and worker rights!

Re… https://t.co/vC9AjIM1Od",0.6114,Immigration
Democrat,CongressmanRaja,Today is the National Day for Choice for individuals with intellectual and developmental disabilities. We must reco… https://t.co/yMrJjhZHU0,0.5106,Abortion
Democrat,CongressmanRaja,"RT @RepAnthonyBrown: States &amp; private companies are leading the way on gun reform while Republicans either stonewall or retire. 

Members l…",-0.34,GunControl
Democrat,CongressmanRaja,Always glad to work with my colleagues in the House on real gun reform solutions. I'm grateful to have the chance t… https://t.co/PoOItqqGn5,0.743,GunControl
Democrat,CongressmanRaja,RT @RepRoKhanna: We can't let up the pressure on sensible gun violence until we get real change. Let's pass @RepCicilline's assault weapon…,-0.91,GunControl
Democrat,CongressmanRaja,Please keep everyone affected by the shooting in San Bruno in your thoughts and prayers as we gather the facts and… https://t.co/ox41IBOO2m,0.1779,GunControl
Democrat,CongressmanRaja,I'm inspired by all those taking to the streets today and I'll keep fighting for  real gun reform in Congress with… https://t.co/PPGbhTzSNC,-0.1779,GunControl
Democrat,CongressmanRaja,RT @iftyahmadMD: My close friend @MuslimMarine and I had a chance to spend some time with @CongressmanRaja today discussing immigration and…,0.6369,Immigration
Democrat,RepOHalleran,RT @AllysaAdams1: It's not often we have a congressman in the PBS control room. @RepOHalleran watches AZHorizon from the other side. Tune i…,0.0,GunControl
Democrat,RepRaskin,RT @OversightDems: HAPPENING NOW: All Oversight Democrats Urge Gowdy to Subpoena Documents on Census Bureau’s Concerns About Citizenship Qu…,0.0,Immigration
Democrat,RepRaskin,RT @RepDonBeyer: 19 years ago a shooting at Columbine High School took 13 lives. It was a horror with many sequels as our gun laws got weak…,-0.7269,GunControl
Democrat,RepRaskin,Adding a citizenship question to the #2020Census turns the constitutional mechanism of a popular count into a parti… https://t.co/elSBB0U7Zo,0.4215,Immigration
Democrat,RepRaskin,Including a citizenship question in the #2020Census will suppress participation &amp; generate inaccurate data that doe… https://t.co/dgN533SXSO,0.0,Immigration
Democrat,RepValDemings,"Since its opening, the newest @Smithsonian museum has welcomed 3.5M visitors. It has used timed passes to control c… https://t.co/JKgp3zxVhd",0.34,GunControl
Democrat,RepValDemings,"RT @TheOrlandoTimes: Continuing the conversation; Gun Violence Town Hall on May 2nd. Get more info below!
#GUNviolence https://t.co/iNzSlQR…",-0.7777,GunControl
Democrat,RepValDemings,"Without the actions of James Shaw Jr., this deadly shooting could have been far worse. He may not think that he's a… https://t.co/Hr7wvpSWcS",-0.4767,GunControl
Democrat,RepValDemings,To the Republican leadership in Congress: HOW LONG will you sit on the sidelines and watch shooting after shooting… https://t.co/ILiouAohcG,0.0,GunControl
Democrat,RepValDemings,"I'm proud of the students and educators who are continuing to make gun safety a national priority. Today, on the an… https://t.co/bE0bYen2RS",0.5423,GunControl
Democrat,RepJimmyPanetta,An accurate #2020census is critical to our nation. Adding a citizenship question jeopardizes the disbursement of fu… https://t.co/dFqf0kCSMi,-0.3182,Immigration
Democrat,RepJimmyPanetta,"Powerful feature in this week's @mcweekly on gun violence &amp; school safety, with articles by student journalists fro… https://t.co/SDLLTLWym2",-0.2263,GunControl
Democrat,RepJimmyPanetta,"19 years after the horrific shooting at Columbine, we remember the victims &amp; survivors. The devastation of this sen… https://t.co/pGUHfLR81p",-0.8591,GunControl
Democrat,RepJimmyPanetta,I am calling upon @DHSgov @SecNielsen and the Trump administration to maintain asylum protections for survivors of… https://t.co/MrUavLJJqE,0.0,Immigration
Democrat,RepJimmyPanetta,"Had a conversation about gun violence, mental health, school safety, and immigration reform with students, teachers… https://t.co/bzwNT11ef4",-0.5719,Immigration
Democrat,RepJimmyPanetta,"I held a roundtable discussion w/students, school officials &amp; local law enforcement about gun violence &amp; school saf… https://t.co/xc3ljY4Moe",-0.7579,GunControl
Democrat,RepJimmyPanetta,"Today, high school students across the country took a stand to demand action on gun violence. It is time for Congre… https://t.co/mKARhKjSEC",-0.7906,GunControl
Democrat,RepJimmyPanetta,"RT @Teaganne_Finn: NOW: ""My role on the Ag committee as a Rep. is not to limit peoples options but to fight for their choice for fresh food…",-0.1154,Abortion
Democrat,RepJimmyPanetta,Met with the Army Corps of Engineers to discuss local projects such as flood control on the Pajaro and San Lorenzo… https://t.co/P7a1irTKWZ,0.0,GunControl
Democrat,RepStephMurphy,Thank you to @RepCicilline for joining me at @rollinscollege in #WinterPark today to discuss gun violence preventio… https://t.co/L5GIRAs2uo,-0.6124,GunControl
Democrat,RepStephMurphy,A student was injured in a shooting at Forest High School in #Ocala today. It’s 19 years to the day since Columbine… https://t.co/2gJdbJLUNj,-0.4019,GunControl
Democrat,RepStephMurphy,We've partnered w/@USCIS to host an immigration information session where #FL07 residents can learn about the immig… https://t.co/2hAxzvZfNz,0.0,Immigration
Democrat,RepStephMurphy,I spoke to @UCF student gun safety advocates at a recent Coffee with Your Congresswoman event. I'm heartened to see… https://t.co/qersjyebrZ,0.1027,GunControl
Democrat,RepStephMurphy,"ICYMI: ""Stephanie Murphy praises decision to allow gun violence research"" via @SteveLemongello @orlandosentinel… https://t.co/RiG5jb1oeT",-0.296,GunControl
Democrat,RepStephMurphy,RT @TheEthanFields: Ran into @RepStephMurphy in Orlando today! We need more representatives who prioritize ending gun violence in Washingto…,-0.7777,GunControl
Democrat,RepStephMurphy,"Today, millions of Americans across the country are lending their voices to say ENOUGH. Enough to the gun violence… https://t.co/eurABsLrX3",-0.34,GunControl
Democrat,RepStephMurphy,RT @RepCurbelo: .@RepCurbelo is a proud co-sponsor of @RepStephMurphy's legislation to allow the @CDCgov to conduct research on gun violenc…,0.3818,GunControl
Democrat,RepStephMurphy,RT @Fla_Pol: Stephanie Murphy gets gun violence research language into budget bill https://t.co/ewEZbpKto3 via @ScottFist #FlaPol https://t…,-0.7579,GunControl
Democrat,RepStephMurphy,Major Breakthrough: It appears #Omnibus will make it clear CDC can research gun violence - something I'm proud to h… https://t.co/3zBehS267k,-0.2023,GunControl
Democrat,RepStephMurphy,THIS JUST IN ➡️ House Republicans today voted down a motion that would have forced a vote on various gun violence p… https://t.co/MXVVEmxaLF,-0.8591,GunControl
Democrat,RepStephMurphy,"My thoughts are w/the students, faculty &amp; families affected by the shooting at Great Mills High. My gratitude is wi… https://t.co/vBRIQNJOZd",0.7783,GunControl
Democrat,DonaldNorcross,RT @KarinAttonito: .@CoryBooker &amp; @DonaldNorcross say citizenship question diverts from purpose of Census; w/ @ericlandskroner on #PowerAnd…,0.0,Immigration
Democrat,DonaldNorcross,"#EnoughIsEnough! 

Congress can do more to help prevent gun violence.

I support banning assault rifles, stopping s… https://t.co/6C7mJQSSoE",-0.7311,GunControl
Democrat,DonaldNorcross,Today students &amp; teachers across South Jersey &amp; the country are taking a stand to demand action on gun violence. I… https://t.co/4HjfYAydrr,-0.7906,GunControl
Democrat,DonaldNorcross,President Trump shamelessly made the choice to end DACA 6 months ago &amp; DREAMers are still being forced to live w/fe… https://t.co/lZz1I5Wa1j,-0.6597,Abortion
Democrat,DonaldNorcross,"A moment of silence for Parkland is not enough!

Let’s listen to these brave students &amp; pass gun safety legislation… https://t.co/8s6P9J2OT7",0.6239,GunControl
Democrat,DonaldNorcross,"“After Britain had a mass shooting in 1987, they instituted strict gun control laws. So did Australia... But the US… https://t.co/P7r5Q00dlN",-0.34,GunControl
Democrat,DonaldNorcross,"@leslievermeulen You're right that there are no excuses. I am here in DC ready to fight for gun safety every day, f… https://t.co/sbIL7gsGvp",-0.2263,GunControl
Democrat,DonaldNorcross,"@leslievermeulen Leslie - I am sick of it too! I want us to take actions to help reduce gun violence, but President… https://t.co/Ud8TrL9aEQ",-0.5707,GunControl
Democrat,RepTedLieu,Separating children from parents as a deterrent to seeking asylum is inhumane and cruel. Seeking asylum is not ille… https://t.co/1IY3t31A20,-0.5859,Immigration
Democrat,RepTedLieu,Visited @VistamarSchool today to have a thoughtful discussion on how to address gun violence and stop school shooti… https://t.co/oakNzYSwq7,-0.7269,GunControl
Democrat,RepTedLieu,"The #Trump Administration's decision to add a citizenship question to the #2020Census is a dangerous, alarming &amp; de… https://t.co/HOiY614E7G",-0.5574,Immigration
Democrat,RepTedLieu,Proud to stand with America’s students. Your voice is making a difference in the fight for action to prevent gun vi… https://t.co/GRiaB7thVG,-0.2023,GunControl
Democrat,RepTedLieu,"RT @HouseDemocrats: 7,000 children have lost their lives to gun violence since Sandy Hook. How many more must we lose before Congress takes…",-0.8948,GunControl
Democrat,RepPeteAguilar,"America is a nation of immigrants, and our immigration policies need to reflect that. Visiting the border this week… https://t.co/k2BrCuFpBe",0.0,Immigration
Democrat,RepPeteAguilar,"Americans rely on accurate census data, and adding a citizenship question to the #2020Census is nothing more than a… https://t.co/K9mgYE9S51",0.0,Immigration
Democrat,RepPeteAguilar,Fake news. Your own ICE spokesperson resigned today because he couldn't lie about immigration policies for you anym… https://t.co/U4aq8FR0xl,-0.6249,Immigration
Democrat,RepPeteAguilar,"I’ll be live with @wolfblitzer soon to discuss DACA, immigration and more. Tune in to @CNN to hear more. https://t.co/HYS12UkdvM",0.0,Immigration
Democrat,RepPeteAguilar,"Earlier today, I voted to bring up a commonsense gun safety bill to expand background checks. @HouseGOP voted unani… https://t.co/CYak0MCxBP",0.4019,GunControl
Democrat,RepPeteAguilar,It shouldn't take a national tragedy to get @HouseGOP to allow us to vote on commonsense measures to prevent gun vi… https://t.co/KSgRCh3wuJ,0.4795,GunControl
Democrat,RepPeteAguilar,"RT @FaceTheNation: This morning, @HurdOnTheHill and @RepPeteAguilar join the program to weigh in on the immigration debate in Washington, a…",0.296,Immigration
Democrat,RepPeteAguilar,"The House is currently debating #HR38, a dangerous bill that undermines commonsense gun laws in states like Califor… https://t.co/TPMJkMNDzJ",-0.6597,GunControl
Democrat,RepPeteAguilar,".@realDonaldTrump’s attacks on #DREAMers cut to the core of communities, and his extremist immigration ""principles"" will only make it worse.",-0.7964,Immigration
Democrat,RepPeteAguilar,This shameful decision by @POTUS  will make birth control unaffordable for thousands of women. #ContraceptionIsCare https://t.co/U8ga82T1IQ,-0.4939,GunControl
